mjd,mag,magerr,filter
1334.808350,16.132681,0.018443,1
1334.829102,16.135828,0.018556,1
1334.849976,16.135099,0.018511,1
1334.870850,16.126028,0.018347,1
1334.891602,16.123121,0.018351,1
1334.912476,16.120787,0.018288,1
1334.933350,16.120485,0.018274,1
1334.954102,16.120636,0.018202,1
1334.974976,16.119528,0.018286,1
1334.995850,16.121017,0.018350,1
1335.016602,16.120296,0.018278,1
1335.037476,16.120167,0.018283,1
1335.058350,16.120117,0.018295,1
1335.079102,16.120296,0.018303,1
1335.099976,16.119595,0.018285,1
1335.120850,16.120228,0.018256,1
1335.141602,16.117207,0.018278,1
1335.162476,16.120174,0.018227,1
1335.183350,16.118542,0.018261,1
1335.204102,16.119915,0.018262,1
1335.224976,16.121117,0.018284,1
1335.245850,16.120846,0.018290,1
1335.266602,16.122080,0.018317,1
1335.287476,16.123032,0.018317,1
1335.308350,16.124271,0.018322,1
1335.329102,16.123623,0.018345,1
1335.349976,16.135611,0.019624,1
1335.370850,16.126049,0.018351,1
1335.391602,16.124504,0.018356,1
1335.412476,16.126183,0.018348,1
1335.433350,16.125986,0.018375,1
1335.454102,16.130974,0.018514,1
1335.474976,16.131834,0.018433,1
1335.495850,16.130913,0.018470,1
1335.516602,16.131178,0.018486,1
1335.537476,16.135193,0.018579,1
1335.558350,16.135611,0.018525,1
1335.579102,16.168097,0.019149,1
1335.599976,16.225317,0.020127,1
1335.620850,16.244781,0.020537,1
1335.641602,16.251568,0.020659,1
1335.662476,16.238909,0.020384,1
1335.683350,16.180094,0.019338,1
1335.704102,16.142588,0.018671,1
1335.724976,16.139753,0.018607,1
1335.745850,16.137825,0.018508,1
1335.766602,16.136452,0.018528,1
1335.787476,16.137207,0.018557,1
1335.808350,16.137157,0.018575,1
1335.829102,16.137041,0.018538,1
1335.849976,16.138218,0.018545,1
1335.870850,16.140188,0.018655,1
1335.891602,16.134315,0.018497,1
1335.912476,16.135984,0.018550,1
1335.933350,16.135178,0.018521,1
1335.954102,16.132143,0.018501,1
1335.974976,16.130991,0.018451,1
1335.995850,16.129721,0.018443,1
1336.016602,16.125008,0.018376,1
1336.037476,16.127449,0.018398,1
1336.058350,16.125751,0.018398,1
1336.079102,16.122728,0.018363,1
1336.099976,16.123997,0.018353,1
1336.120850,16.123640,0.018380,1
1336.141602,16.123188,0.018368,1
1336.162476,16.119537,0.018289,1
1336.183350,16.121984,0.018303,1
1336.204102,16.121111,0.018285,1
1336.224976,16.120789,0.018317,1
1336.245850,16.121887,0.018307,1
1336.266602,16.120611,0.018302,1
1336.287476,16.121881,0.018318,1
1336.308350,16.121367,0.018331,1
1336.329102,16.121964,0.018317,1
1336.349976,16.120132,0.018252,1
1336.370850,16.118183,0.018294,1
1336.391602,16.124590,0.018381,1
1336.412476,16.132328,0.018513,1
1336.433350,16.133228,0.018527,1
1336.454102,16.133951,0.018539,1
1336.474976,16.135183,0.018557,1
1336.495850,16.127722,0.018421,1
1336.516602,16.122154,0.018369,1
1336.537476,16.121382,0.018337,1
1336.558350,16.122320,0.018339,1
1336.579102,16.120165,0.018327,1
1336.599976,16.120327,0.018328,1
1336.620850,16.119308,0.018274,1
1336.641602,16.117744,0.018322,1
1336.662476,16.119356,0.018301,1
1336.683350,16.120817,0.018317,1
1336.704102,16.121069,0.018340,1
1336.724976,16.119625,0.018339,1
1336.745850,16.119349,0.018231,1
1336.766602,16.121677,0.018378,1
1336.787476,16.120335,0.018261,1
1336.808350,16.117680,0.018347,1
1336.829102,16.120668,0.018271,1
1336.849976,16.121958,0.018345,1
1336.870850,16.122871,0.018341,1
1336.891602,16.119240,0.018240,1
1336.912476,16.120451,0.018332,1
1336.933350,16.122742,0.018392,1
1336.954102,16.122084,0.018260,1
1336.974976,16.123411,0.018352,1
1336.995850,16.121098,0.018316,1
1337.016602,16.127937,0.018408,1
1337.037476,16.129496,0.018462,1
1337.058350,16.128981,0.018429,1
1337.079102,16.127750,0.018462,1
1337.099976,16.130106,0.018421,1
1337.120850,16.133339,0.018574,1
1337.141602,16.134335,0.018567,1
1337.162476,16.134254,0.018521,1
1337.183350,16.136757,0.018600,1
1337.204224,16.151005,0.018841,1
1337.224976,16.207745,0.019886,1
1337.245850,16.237158,0.020345,1
1337.266724,16.248728,0.020589,1
1337.287476,16.246124,0.020576,1
1337.308350,16.204758,0.019790,1
1337.329224,16.150810,0.018870,1
1337.349976,16.137743,0.018641,1
1337.370850,16.139822,0.018649,1
1337.391724,16.137815,0.018622,1
1337.412476,16.140476,0.018651,1
1337.433350,16.139582,0.018622,1
